Name,Ministry,Description,Sector,Target Audience,Level,Beneficiary State,Source,Source URL,Scheme ID,Is Active,Scraped At,Created At,Updated At
"Pradhan Mantri Anusuchit Jati Abhyuday Yojana","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427812367-0e1w008yd",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:12.415Z,2025-08-17T10:50:12.415Z
"Pradhan Mantri Credit Scheme for Powerloom Weavers","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427817747-lp8p0yhj9",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:17.797Z,2025-08-17T10:50:17.797Z
"Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi (PM-DAKSH)","Ministry Of Social Justice and Empowerment","No description available","Skills & Employment","Individual","Central","All","api","https://www.myscheme.gov.in","oBe0F5gB5uF80_MGFI_6",Yes,2025-08-15T18:33:31.999Z,2025-08-15T18:35:41.647Z,2025-08-15T18:35:41.647Z
"Pradhan Mantri Kaushal Vikas Yojana","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427817028-lwl69l5ys",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:17.078Z,2025-08-17T10:50:17.078Z
"Pradhan Mantri Kaushal Vikas Yojana - Short Term Training","Ministry Of Skill Development And Entrepreneurship","No description available","Business & Entrepreneurship, Skills & Employment","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","o6GzF5gBXu-iUKXqLXTE",Yes,2025-08-17T09:54:54.299Z,2025-08-15T16:25:33.006Z,2025-08-17T09:54:54.819Z
"Pradhan Mantri Kaushal Vikas Yojana - Special Projects","Ministry Of Skill Development And Entrepreneurship","No description available","Business & Entrepreneurship, Skills & Employment","Infra","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","scazF5gB0AGc0F0iIDP3",Yes,2025-08-17T09:54:54.300Z,2025-08-15T16:25:33.216Z,2025-08-17T09:54:55.029Z
"Pradhan Mantri Kisan Samman Nidhi","Ministry Of Agriculture and Farmers Welfare","No description available","Agriculture,Rural & Environment, Social welfare & Empowerment","Family","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","RxezF5gB5uF80_MGII8A",Yes,2025-08-17T09:54:54.299Z,2025-08-15T16:25:33.110Z,2025-08-17T09:54:54.923Z
"Pradhan Mantri Kisan Urja Suraksha Evam Utthan Mahabhiyan Scheme For Farmers.","Ministry Of New and Renewable Energy","No description available","Utility & Sanitation, Transport & Infrastructure","Infra","Central","Jammu and Kashmir","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","7sa0F5gB0AGc0F0iEjNP",Yes,2025-08-17T09:54:54.299Z,2025-08-15T16:25:32.901Z,2025-08-17T09:54:54.712Z
"Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427816485-vj9xgntt9",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:16.534Z,2025-08-17T10:50:16.534Z
"Pradhan Mantri Matru Vandana Yojana","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427818893-bwjkvaxk0",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:18.943Z,2025-08-17T10:50:18.943Z
"Pradhan Mantri Matsya Sampada Yojana","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427808034-m0ezp5d9y",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:08.083Z,2025-08-17T10:50:08.083Z
"Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:31:04.885Z,2025-08-15T16:31:04.956Z,2025-08-15T16:31:04.956Z
"Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:32:32.139Z,2025-08-15T16:32:32.202Z,2025-08-15T16:32:32.202Z
"Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","State","Haryana","bulk-api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","k8bCF5gB0AGc0F0iCTZ2",Yes,2025-08-17T09:39:24.643Z,2025-08-15T16:25:32.571Z,2025-08-17T09:39:24.732Z
"Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:31:48.922Z,2025-08-15T16:31:48.983Z,2025-08-15T16:31:48.983Z
"Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:31:26.942Z,2025-08-15T16:31:27.003Z,2025-08-15T16:31:27.003Z
"Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:32:10.612Z,2025-08-15T16:32:10.681Z,2025-08-15T16:32:10.681Z
"Pradhan Mantri Matsya Sampada Yojana: Three Wheeler with Ice Box Including E-rickshaws for Fish Vending - Haryana","Not specified","No description available","Agriculture,Rural & Environment","Individual","State","Haryana","api","https://www.myscheme.gov.in","iKHCF5gBXu-iUKXqCXei",Yes,2025-08-15T18:33:32.004Z,2025-08-15T18:35:41.955Z,2025-08-15T18:35:41.955Z
"Pradhan Mantri Mudra Yojana","Ministry Of Finance","No description available","Banking,Financial Services and Insurance","Infra","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","cqGzF5gBXu-iUKXqGnRv",Yes,2025-08-17T09:54:54.300Z,2025-08-15T16:25:33.323Z,2025-08-17T09:54:55.134Z
"Pradhan Mantri Suraksha Bima Yojana","Ministry Of Finance","No description available","Banking,Financial Services and Insurance","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","TRezF5gB5uF80_MGII9K",Yes,2025-08-17T09:54:54.300Z,2025-08-15T16:25:33.528Z,2025-08-17T09:54:55.608Z
"Pradhan Mantri Uchchatar Shiksha Protsahan (PM -USP) Central Sector Interest Subsidy Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427808874-q1tcj5c21",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:08.927Z,2025-08-17T10:50:08.927Z
"Pradhan Mantri Uchchatar Shiksha Protsahan (PM -USP) Central Sector Scheme of Scholarship for College and University students","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427808563-xrqfev44o",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:08.613Z,2025-08-17T10:50:08.613Z
"Pradhan Mantri Uchchatar Shiksha Protsahan (PM -USP) Special Scholarship Scheme for Jammu & Kashmir and Ladakh","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427808771-m0hiyhy73",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:08.821Z,2025-08-17T10:50:08.821Z
"Pradhan Mantri Uchchatar Shiksha Protsahan (PM-USP) Central Sector Scheme of Scholarship for College and University students","Ministry of Education","No description available","Education & Learning","Individual","Central","All","api","https://api.myscheme.gov.in/search/v5/schemes?lang=en&q=%5B%5D&keyword=&sort=&from=0&size=10","",Yes,2025-08-15T16:32:32.141Z,2025-08-15T16:32:32.403Z,2025-08-15T16:32:32.403Z
